"Race","County","Candidate","Party","Votes"
"US President and Vice President","Breckinridge","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Breckinridge","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Breckinridge","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Breckinridge","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Breckinridge","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Breckinridge","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Bullitt","Donald J TRUMP Michael R PENCE","Republican Party","30708"
"US President and Vice President","Bullitt","Joseph R BIDEN Kamala D HARRIS","Democratic Party","10552"
"US President and Vice President","Bullitt","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","563"
"US President and Vice President","Bullitt","Kanye WEST Michelle TIDBALL","Independent","87"
"US President and Vice President","Bullitt","Brock PIERCE Karla BALLARD","Independent","55"
"US President and Vice President","Bullitt","Howie HAWKINS Angela WALKER","WriteIn","18"
"US President and Vice President","Bullitt","Brian CARROLL Amar PATEL","WriteIn","10"
"US President and Vice President","Bullitt","Gloria LA RIVA Sunil FREEMAN","WriteIn","2"
"US President and Vice President","Bullitt","Mark CHARLES Adrian WALLACE","WriteIn","2"
"US President and Vice President","Bullitt","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Bullitt","Tom HOEFLING Andy PRIOR","WriteIn","1"
"US President and Vice President","Bullitt","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Bullitt","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Bullitt","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Bullitt","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Bullitt","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Butler","Donald J TRUMP Michael R PENCE","Republican Party","4960"
"US President and Vice President","Butler","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1079"
"US President and Vice President","Butler","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","63"
"US President and Vice President","Butler","Kanye WEST Michelle TIDBALL","Independent","8"
"US President and Vice President","Butler","Brock PIERCE Karla BALLARD","Independent","12"
"US President and Vice President","Butler","Howie HAWKINS Angela WALKER","WriteIn","3"
"US President and Vice President","Butler","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Butler","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Butler","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Butler","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Butler","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Butler","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Butler","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Butler","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Butler","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Butler","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Caldwell","Donald J TRUMP Michael R PENCE","Republican Party","4906"
"US President and Vice President","Caldwell","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1433"
"US President and Vice President","Caldwell","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","58"
